author,published_at,like_count,text,public,video_id
@Timbul-g2w,2026-04-11T07:16:51Z,0,"Proyek kurang ajar, sudah seharusnya prabowo di turunkan",True,lmcwEO9Lqe8
@isee5599,2026-04-11T00:07:52Z,0,"Anak2 dikasih makan 1x sehari dengan nilai 10k-8k, tapi orang tua menghadapi inflasi bahan pokok. bahkan ayam naik 10k/kg, lebih besar tanggungan inflasi dari pada nilai makan bergizi yang cuma 1x, entahlah mereka mikir atau tidak",True,lmcwEO9Lqe8
@alfazzachanel4064,2026-04-10T23:35:32Z,0,"Terimakasih sudah memberikan edukasi, smoga banyak masyarakat sadar",True,lmcwEO9Lqe8
@YusufAbzul,2026-04-10T16:05:40Z,1,"Dari duit segitu banyaknya dripada dikorupsi para elit ,ya mending di salurkan ke rakyat menengah kebawah lahh.. ada pekerjaan para bocah bisa makan bergizi. Yaa cumaitu pelaksanaannya diperbaiki lg.",True,lmcwEO9Lqe8
@auliarisky7,2026-04-09T14:01:59Z,0,ladang korupsi baru,True,lmcwEO9Lqe8
@helmifajar138,2026-04-09T12:24:07Z,0,Bukan untuk rakyat tapi bisnis para pejabatnya😂,True,lmcwEO9Lqe8
@saifuzzuhri6272,2026-04-09T11:09:33Z,0,Komen gue sama kek kalian. Thanks udah speak up,True,lmcwEO9Lqe8
@mbahronggo3960,2026-04-09T09:46:10Z,0,ini lo orang butak yg ngeyel mslh  mbg ruweet ni malh beri montor pegawe rakyat susah,True,lmcwEO9Lqe8
@suliswanto3714,2026-04-09T07:09:22Z,0,"Walaupun anak saya dua duanya dapat jatah MBG tapi saya tidak setuju dengan adanya MBG,sebab sangat tidak berpengaruh dalam kehidupan ekonomi keluarga saya,nyatanya uang saku anak anak saya tetap walaupun dapat jatah makan siang dr MBG.lebih baik MBG di hentikan dan dialihkan ke pendidikan gratis.",True,lmcwEO9Lqe8
@JasmiFc-u1p,2026-04-09T05:28:37Z,0,"BKN gratis Rkyt yg byr MBG tmpt Sarang Koropsi makin lama makin GK karuwan Nasi basi , LELE mentah dikshkan Otak jeblok MBG hrs di hentikan lgi byk yg keracunan byk yg SDH ditolak",True,lmcwEO9Lqe8
@vhruliciouz,2026-04-09T02:15:01Z,0,Btw presiden itu bisa dipecat lho. Tolong komen siapa yg tau apa syarat dan gimana caranya mecat presiden,True,lmcwEO9Lqe8
@mangaguzsh8664,2026-04-09T02:04:27Z,0,PROGRAM TOLLLLLLeransi tinggi terhadap anak,True,lmcwEO9Lqe8
@isnanang7563,2026-04-09T01:18:07Z,0,Barang naik mbg tambah dikit,True,lmcwEO9Lqe8
